price,aire,piece,rooms,bathroom,address,more_infos,description,feat_infos_dic1,feat_infos_dic2
1 095 000 DH,45 m²,2 Pièces,1 Chambre,1 Salle de bain,Les princesses à Casablanca,Studio premium à saisir,"optez pour des appartements contemporains sur quartier les princesses dotés d'un design d'exception.

Magnifique studio de luxe avec terrasse entièrement équipé avec des finitions modernes et de qualité supérieure,il se compose d'une cuisine moderne américaine,d'un salon spacieux et lumineux avec balcon une grande chambre à coucher avec placards intégrés, une salle de bain avec une douche a l’italienne.

achetez votre appartement dans une résidence premium au coeur de casablanca et profitez d'un rendement locatif de 9% assurés dès l'achat.

Nb: une place de parking titrée de 12m2


Honoraires d'agence 1%","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Cuisine équipée': 'Cuisine équipée'}"
850 000 DH,42 m²,1 Pièce,1 Chambre,1 Salle de bain,Oasis à Casablanca,Studio premium à saisir,"optez pour des appartements contemporains sur quartier oasis dotés d'un design d'exception.

Magnifique studio de luxe entièrement équipé avec des finitions modernes et de qualité supérieure,il se compose d'une cuisine moderne américaine,d'un salon spacieux et lumineux avec balcon une grande chambre à coucher avec placards intégrés, une salle de bain avec une douche a l’italienne.

achetez votre appartement dans une résidence premium au coeur de casablanca et profitez d'un rendement locatif de 9% assurés dès l'achat.

Nb: une place de parking de 12m2

Honoraires d'agence 1.5%","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée'}"
1 090 000 DH,48 m²,1 Pièce,1 Chambre,2 Salles de bains,Palmier à Casablanca,Studio premium à saisir,"Magnifique studio de luxe entièrement équipé avec des finitions modernes et de qualité supérieure,il se compose d'une cuisine moderne américaine,d'un salon spacieux et lumineux, une grande chambre et une salle de bain avec une douche l’italienne .

achetez votre studio dans une résidence premium au coeur de casablanca et profitez d'un rendement locatif de 9% assurés dès l'achat.


Parking titré

Honoraires d'agence 1%","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
1 175 000 DH,87 m²,2 Pièces,1 Chambre,1 Salle de bain,Sidi Maarouf à Casablanca,Appartement à vendre à Sidi Maarouf. 1 belle chambre,"Affaire à saisir pour cet appartement à vendre. Prix 1 175 000 DH. 2 pièces, 1 salle de bains, surface 87 m². 1 chambre à coucher. Nouveau. Ascenseur dans la résidence.

Cet appartement est proposé à la vente à Sidi Maarouf, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}",{'Ascenseur': 'Ascenseur'}
1 175 640 DH,96 m²,4 Pièces,3 Chambres,2 Salles de bains,Aïn Sebaâ à Casablanca,Charmant appartement à vendre à Ain Sebaa,"Charmant appartement de 71 m² composé de 2 chambres, à un prix de 894 000 MAD.

3 pièces lumineuses.

Idéal si vous souhaitez acheter un appartement à Casablanca plus précisément à Ain Sbaa.

Les Jardins de Ain Sebaâ Tranche 2 vous propose des appartements de standing d’une superficie allant de 71 à 96 m², et ce, à un prix 100% déclaré débutant à 802 000 DH !

Entourée d’espaces verts, cette résidence fermée et sécurisée à taille humaine est composée de 2 immeubles pour un total de 45 appartements de standing. Votre confort et votre sécurité n’y ont pas été pris à la légère puisque vous bénéficierez de : ascenseurs de la marque SCHINDLER, caméras de surveillance, parking au sous-sol…

Votre futur appartement doté des finitions que vous attendiez !

De par leurs finitions et leurs équipements de qualité, ces appartements de 2 ou 3 chambres vous feront jouir d’un bien-être inégalé.
- Carrelage de qualité dans tout l’appartement
- Porte d’entrée et portes intérieures isoplanes
- Cuisine équipée d’un trio (hotte, four et plaque de cuisson)
- Salle de bain fonctionnelle : douche à l’italienne, WC suspendu...

Un quartier qui vous séduira par son dynamisme et sa position stratégique !

Ain Sebaâ, le quartier dans lequel est implanté la résidence fermée et sécurisée Les Jardins de Ain Sebaâ Tranche 2, est très prisé aussi bien par les jeunes actifs que par les familles. Proche des principales artères de Casablanca et de toutes les commodités, ce dernier vous facilitera à coup sûr votre quotidien.

Ainsi, en optant pour Les Jardins de Ain Sebaâ Tranche 2, vous allez bénéficier d’une proximité avec les commodités suivantes :
- Écoles : crèches, primaires, collèges et lycées
- Universités et écoles supérieures : Faculté de Ain Sebaâ, ENCG, EFA...
- Supermarchés et hypermarchés
- Divertissement : parcs de jeux, zoo, jardins publics...
- Moyens de transport : train, tramway, bus et taxis
- Centres commerciaux : Tachfine Center, Marina Mall
- Mosquées
- Sorties d’autoroutes

Convaincus ? Contactez sans plus attendre nos conseillers et achetez votre appartement 100% déclaré à la résidence Les Jardins de Ain Sebaâ Tranche 2 !","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Ascenseur': 'Ascenseur', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
7 000 DH,105 m²,4 Pièces,3 Chambres,2 Salles de bains,Bernoussi à Casablanca,Vend appartement à Bernoussi. Surface totale 105 m²,"Opportunité unique pour cet appartement à vendre. Prix 7 000 DH. 4 pièces, 2 salles de bains, 105 m². 3 chambres. Nouveau.

Cet appartement est proposé à la vente à Bernoussi, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nMoyen standing': 'Standing\nMoyen standing', 'État\nFinalisé': 'État\nFinalisé', 'Livraison:\njuillet 2024': 'Livraison:\njuillet 2024'}",{}
8 500 000 DH,502 m²,5 Pièces,4 Chambres,3 Salles de bains,Ain Diab Extension à Casablanca,"Villa de luxe à vendre à Ain Diab Extension. Surface totale 502 m². Conciergerie à disposition, système de climatisation","Au coeur de Ain Diab Extension, très belle villa vue sur mer à vendre, construite sur 3 niveaux sur un terrain de 380 m² et une surface habitable de 502 m²

Elle est composée de :

Rez de chaussée :
-Salon avec vue imprenable sur le jardin
-Séjour
-Espace salle à manger
-Salle d’eau
-Cuisine équipée
- Jardin paysager et piscine

Etage :
-Une master suite avec balcon et salle de bain et dressing
-3 suites juniors avec chacune sa salle de bain et ses espaces de rangements

Sous-sol :
-Buanderie
-Chambre de service avec salle de bain
-Salle de jeux
-Salle de sport

La villa est équipée d'un chauffage centrale et d'une climatisation gainable

A propos d'Eden Roc :

Le projet Eden Roc est un complexe résidentiel de prestige situé dans l’extension prisée d’Ain Diab à Casablanca. Avec ses 19 villas uniques, élégantes au style intemporel et offrant une vue imprenable sur l’océan, Eden Roc est l’endroit idéal pour une expérience de vie de luxe sans pareille.
La propriété offre à ses résidents une collection 19 villas d’exception, méticuleusement conçues pour offrir le plus haut niveau de confort, d’intimité et de sophistication.
L’ensemble des villas sont baignées de soleil par leur orientation Sud-Ouest et chacune bénéficie d’une piscine privée et d’un jardin paysager soigneusement entretenu, permettant de savourer Casablanca avec une quiétude sans pareille.
La résidence fermée et sécurisée, comprend une aire de jeux pour enfants.
Chaque villa offre des volumes très généreux, avec de très belles hauteurs sous plafond et sont composées de 3 suites junior et d’une master suite. Les matériaux sélectionnés haut de gamme et la qualité des finitions sont au service d’une architecture moderne et épurée.
Elles offrent également des espaces au sous-sol modulable en studio/salle de cinémas/salle de sport ou Spa.
La résidence est composée de 16 villas jumelées de 373m2 à 411m2 et 3 villa isolées de 549m2 à 571m2.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nEn cours de construction': 'État\nEn cours de construction'}","{'Jardin': 'Jardin', 'Garage': 'Garage', 'Vue sur mer': 'Vue sur mer', 'Piscine': 'Piscine', 'Concierge': 'Concierge', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée'}"
1 872 600 DH,104 m²,4 Pièces,3 Chambres,,Californie à Casablanca,Magnifique appartement à vendre à Californie,"Les Allées de Californie 2, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

Cet appartement de 108 m² composé de 3 chambres, à un prix de 1 895 200 DH, 100% déclaré.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés de finitions et d’équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers disponibles immédiatement.

Programmez votre visite dès maintenant, en appelant le 05200 100 20.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Standing\nHaut standing': 'Standing\nHaut standing', 'État\nFinalisé': 'État\nFinalisé'}","{'Terrasse': 'Terrasse', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
1 095 000 DH,52 m²,1 Pièce,1 Chambre,1 Salle de bain,Les Hôpitaux à Casablanca,Studio premium à saisir,"optez pour des studios contemporains sur quartier 2 mars à proximité dotés d'un design d'exception.

Magnifique Studio de luxe entièrement équipé avec des finitions modernes et de qualité supérieure,il se compose d'une cuisine moderne américaine,d'un salon spacieux et lumineux, d'une grande chambre à coucher avec placards intégrés et d'une salle de bain élégante.

achetez votre studio dans une résidence premium au coeur de casablanca et profitez d'un rendement locatif de 9% assurés dès l'achat.



NB: le studio dispose également d'une place de parking titrée pour vous permettre de garer en toute sécurité

Honoraires d'agence 1%","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
1 020 000 DH,49 m²,1 Pièce,1 Chambre,1 Salle de bain,Riviera à Casablanca,Studio premium à saisir,"magnifique studio de luxe entièrement équipée avec des finitions modernes et de qualité supérieure ,il se compose d'une cuisine moderne américaine, d'un salon spacieux et lumineux d'une chambre à coucher spacieuse ,placards intégrés ,salle de bain élégante avec une douche à l’italienne.

Superficies disponibles 43,46,


Honoraires d’agence 1%


pour plus d'informations contactez le 06 62 65 56 07","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée'}"
