price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
300 000 DH,54 m²,1 Pièce,2 Chambres,1 Salle de bain,Lissasfa à Casablanca,"À VENDRE: Appartement T3 à Hay Errahma, Casablanc
Appartement de 54 m² au 3ème étage, situé à Hay Errahma, à côté de la station de bus. Ce bien est en excellent état, idéal pour une petite famille ou un investissement locatif.

Il comprend :

Deux chambres spacieuses
Un salon lumineux
Une cuisine équipée
Une salle de bain moderne
Un toilette
Un balcon offrant une belle vue

L'emplacement est pratique avec des commodités à proximité, y compris les transports en commun, des commerces, des écoles et des parcs. [5min à morocco mall]

Prix de vente : [300 000 dh].

Pour plus d'informations ou pour organiser une visite (possible uniquement dimanche), veuillez me contacter","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème'}","{'Façade extérieure': 'Façade extérieure', 'Cuisine équipée': 'Cuisine équipée'}"
2 800 000 DH,137 m²,2 Pièces,3 Chambres,2 Salles de bains,Racine à Casablanca,"Appartement à vendre racine
Unique appartement
À racine

Immeuble calme avec un concierge résident, très bien entretenu avec 2 appartements par pallier sur 4 étages.
Cet appartement comprend une suite parentale avec dressing et salle de bain -douche italienne. Un double salon ouvert avec 2 petits balcons et une cheminée a foyer fermée. Une salle d'eau d'invités puis 2 chambres avec une salle de bain commune et une baignore.
Beaucoup de rangements encastrés et une cuisine entièrement équipée. Enfin 1 place de parking et une boxe titrée sont disponibles au rez-de-chaussée.

Réf mamoud","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}"
16 700 000 DH,1350 m²,6 Pièces,4 Chambres,4 Salles de bains,Port à Casablanca,"Luxueuse villa a vendre sur golf a bouskoura
Luxueuse villa sur golf dans un complexe haut de gamme avec piscine a Casablanca bouskoura Cette magnifique villa de 1350 m de terrain 500 m habitable est composé de ;
4 chambres avec leurs salles de bain 2 salons .
Ch personnel.
Salle à manger
Cuisine équipée grande Terrasse avec une très bel vue sur lac sans vis a vis villa située dans un complexe sécurisé ;projet avec golf ,club house, restaurant spa commerces terrain sport, espace verts",{'Type de bien\nVilla': 'Type de bien\nVilla'},"{'Terrasse': 'Terrasse', 'Piscine': 'Piscine', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
1 700 000 DH,196 m²,4 Pièces,4 Chambres,3 Salles de bains,Maârif Extension à Casablanca,"Maarif A saisir Appartement spacieux 196m²
Appartement bien entretenu et spacieux de 4 chambres et double salon au coeur de Maarif Extension, proche de toute comodité (BIM / CARREFOUR/ MOYENS DE TRANSPORT/ COMMERCES)
** visite possible sur rendez-vous**
*** Intermédiaire s'abstenir***","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n30-50 ans': 'Etat du bien\n30-50 ans', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Four': 'Four'}"
1 250 000 DH,49 m²,2 Pièces,1 Chambre,1 Salle de bain,Racine à Casablanca,"Studio avec grande terrasse, Maarif limite Racine
Alter Foncier vous propose à la vente ce studio de 37 m² 12 de terrasse situé à Racine, orienté plein sud et hyper ensoleillé. Le studio bénéficie d'une place au garage en sous sol.

Projet neuf, plusieurs disponibilités dans l'immeuble.

Rue très calme.

Les photos sur l'annonce ne sont pas celles du studio car l'immeuble est toujours en cours de construction, n'hésitez pas à nous contacter pour recevoir les photos réelles.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n1er': 'Étage du bien\n1er', 'Orientation\nSud': 'Orientation\nSud'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon européen': 'Salon européen', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
1 900 000 DH,217 m²,2 Pièces,3 Chambres,3 Salles de bains,Racine à Casablanca,"Appartement rez de chaussée en vente à racine. Superficie 217 m²
Opportunité unique pour cet appartement à vendre. Triple salon, 3 salles de bains, surface 217 m², 3 chambres. Moins de 50 ans. Revêtement: Carrelage. Confort et tradition avec un beau salon marocain. Le bien dispose également d'une place au parking

Venez découvrir cet appartement à vendre à racine rue du restaurant la grilladiere derrière Zara. Profitez d'une belle terrasse. Dispose également d'un ascenseur. Décoration moderne avec salon européen.

Contactez-nous pour visiter cet appartement à vendre à Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover', 'Etat du bien\n30-50 ans': 'Etat du bien\n30-50 ans', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique'}"
2 300 000 DH,176 m²,7 Pièces,3 Chambres,2 Salles de bains,Maârif Extension à Casablanca,"TRÈS BEAU REZ DE JARDIN à vendre, MAARIF extension
Ref AV588 / TRÈS BEAU REZ DE JARDIN à vendre, 176 m2 dont 44 m2 de terrasse, 1 suite et 2 chambres, MAARIF extension, prix 2,3 MDH

EN PARFAIT ÉTAT
DANS UN COIN TRÈS PRISÉ DE CASABLANCA
DANS UN IMMEUBLE DE TRÈS BON STANDING

Superficie de 176 m2 titrés dont 44 m2 de Terrasse

- Grand Hall
- Double Salon avec Cheminée
- wc invités
- Suite Parentale avec placards, sdb avec baignoire
- 2 chambres enfants avec placards
- Sdb commune
- Grande Cuisine ouverte sur Terrasse
- Très belle Terrasse aménagée avec un vrai espace de vie
- buanderie
- WC Personnel
- 1 place au garage attribuée

Les plus de cet appartement : 
- Top Adresse ( au Calme total ), coin très prisé
- Résidence de Très Bon Standing 
- En Très Bon État
- Menuiserie de bonne qualité 
- Très Bonne répartition 
- Avec une vraie terrasse et un espace de vie aménagé à l'extérieur

PRIX DE VENTE : 2.300.000 DHS
Honoraires : 2.5% TVA

Agence UNIVERS FONCIER 
(réf du bien AV588)","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Salon Marocain': 'Salon Marocain', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}"
Prix à consulter,99 m²,10 Pièces,7 Chambres,7 Salles de bains,Bernoussi à Casablanca,"Maison titrée à vendre
Maison à vendre titrée 3 étages
Surface sol 99 m2
Route de Rabat
Proche du terminus tram, Gare Ain Sebaa, commerces, banques, commissariat, McDonald’s, arrêt de bus N82 en face","{'Type de bien\nMaison': 'Type de bien\nMaison', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nOuest': 'Orientation\nOuest'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Vue sur mer': 'Vue sur mer'}"
450 000 DH,80 m²,1 Pièce,2 Chambres,2 Salles de bains,Tacharouk (Hay Al Walaa) à Casablanca,"Appartement de 80m² nouvellement rénové à vendre
A vendre appartement de 80m² récemment rénové dans le quartier Tacharouk de Casablanca.
Il est doté d'un grand salon marocain, deux chanbres à coucher, une cuisie, une salle de bain et un WC séparé.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Etat du bien\n20-30 ans': 'Etat du bien\n20-30 ans', 'Étage du bien\n1er': 'Étage du bien\n1er', 'Orientation\nNord': 'Orientation\nNord', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain'}"
6 000 000 DH,354 m²,,,,Californie à Casablanca,"Terrain nu constructible en type Villa
Terrain nu équipé destiné à abriter des construction de type villa , d'une superficie cadastrale brute de 354 m , situé à Casablanca , quartier Californie, Lotissement MIAMAR 94",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
6 000 000 DH,160 m²,1 Salle de bain,,,Maârif à Casablanca,"Un local commercial
Local commercial ,d'une superficie cadastrale brute de 160 m , composé en 47 m au sol, 42 m en soupente et 71 m au sous sol . il est situé à Casablanca , quartier racine ,angle boulevard Zerktouni et rue Jalal Eddine Essayouti résidence Fahd .","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', 'Étage du bien\n1er': 'Étage du bien\n1er'}",{}
Prix à consulter,171 m²,1 Salle de bain,,,Plateau (Al Batha) à Casablanca,"Local commercial en vente à l’angle de Yacoub al mansour avec ghandi. Surface totale 171 m². Conciergerie à disposition
Faites une belle affaire en achetant ce local. Prix 5 500 000 DH. 1 salle de bains, superficie de 171 m². Type de sol: Marbre. Résidence avec concierge.

Idéal si vous souhaitez acheter un local en plein centre ville pres de Maarif, Ghandi etc. Casablanca.","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n20-30 ans': 'Etat du bien\n20-30 ans', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}",{'Concierge': 'Concierge'}
620 000 DH,62 m²,3 Pièces,2 Chambres,1 Salle de bain,Oulfa à Casablanca,"Appartement a vendre 62 me 1 etage oulfa, 2 facade
Appartement a vendre 62 me 1 etage oulfa, 2 facades, 5 fenetres, rue de BIM, 2 grande salons","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n18ème': 'Étage du bien\n18ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{'Façade extérieure': 'Façade extérieure'}
380 000 DH,20 m²,1 Salle de bain,,,Hay Chifa à Casablanca,"Magasin commercial à vendre sarout
Mahal saroute , fih seda ou toilette .
Kayn f chari3 l fidaa , hay ain chifa 1, lkra dialo 900-1000 dh au maximum","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nBon état': 'Etat\nBon état'}",{'Chambre rangement': 'Chambre rangement'}
1 100 000 DH,110 m²,2 Pièces,2 Chambres,1 Salle de bain,Plateau (Al Batha) à Casablanca,"Bel appartement à vendre
Très bien situé, près de la station de tram, 110m2 à vendre sur quartier berger maarif ext Casablanca","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n30-50 ans': 'Etat du bien\n30-50 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{}
650 000 DH,64 m²,1 Pièce,1 Chambre,1 Salle de bain,Palmier à Casablanca,"Partement, très bon état
Mon appartement à Maarif","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n20-30 ans': 'Etat du bien\n20-30 ans', 'Étage du bien\n5ème': 'Étage du bien\n5ème'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Porte blindée': 'Porte blindée'}"
